Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Uses,Stack Size,Buy,Sell,HHA Base Points,HHA Concept 1,HHA Concept 2,Color 1,Color 2,Size,Set,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Villager Equippable,Food Power,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
shell wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,5100,0,None,None,Pink,Aqua,1x1,None,NA,NA,Crafting,,summer shells,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickShell,NA,7586,EsdC3wFYpzqXB7RRi
shovel,#REF!,Red,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Red,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_0_0,0_0,2099,B6ejTnMqrR65wXv5z
shovel,#REF!,Yellow,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Yellow,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_1_0,1_0,2099,6sKHnKeEuPcLpjEF3
shovel,#REF!,Green,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Green,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_2_0,2_0,2099,SSzNaAfdGfnFoL8Qq
shovel,#REF!,Blue,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Blue,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_3_0,3_0,2099,qiAf2KCaX5Xr57bXb
shovel,#REF!,Purple,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Purple,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_4_0,4_0,2099,bbbeRassLbyY8HCP3
shovel,#REF!,Pink,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Pink,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_5_0,5_0,2099,CZoPP24ecNvDxdNfY
shovel,#REF!,White,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,White,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_6_0,6_0,2099,JLemP4xchhzB2BmLk
shovel,#REF!,Black,Color,Yes,Yes,1,Normal,1000,100,1,NFS,600,0,None,None,Black,Black,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoop_Remake_7_0,7_0,2099,egJGqooiodvdWtv6Y
sky-blue folding fan,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,200,0,None,None,Aqua,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolSensu1,NA,323,QEGoJrSFWoioQcg9s
slingshot,#REF!,Red,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Red,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_0_0,0_0,2822,kgAEBkWjeZrdvZLwC
slingshot,#REF!,Yellow,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Yellow,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_1_0,1_0,2822,aoeJ6gnZq7Cz9MH58
slingshot,#REF!,Green,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Green,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_2_0,2_0,2822,prpgd3XrcJHJZybaD
slingshot,#REF!,Blue,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Blue,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_3_0,3_0,2822,bHrn2thixWf3tPgQB
slingshot,#REF!,Purple,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Purple,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_4_0,4_0,2822,o2z73jZqDyg3Bwjtq
slingshot,#REF!,Pink,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Pink,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_5_0,5_0,2822,J47FSys2XtpZr8dT9
slingshot,#REF!,White,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,White,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_6_0,6_0,2822,qKjLAtchN5GvjyknF
slingshot,#REF!,Gray,Color,Yes,Yes,1,Normal,1000,20,1,900,225,0,None,None,Gray,Beige,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshot_Remake_7_0,7_0,2822,dq9S8zrmf4efRddki
sparkling cider,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,1000,250,201,party,None,Yellow,Aqua,1x1,None,NA,NA,Nook Shopping Seasonal,,New Year's Eve,Yes,No,NA,No lighting,Seasonal,1.6.0,Yes,ToolJuiceFuzzyapple,NA,13835,RwPmXZCELsvd44w2t
spooky treats basket,#REF!,Orange,Pumpkin color,Yes,Yes,1,Pumpkin,1000,Unlimited,1,3000,750,201,horror,None,Orange,Black,1x1,None,NA,NA,Crafting; Nook's Cranny,,Halloween (days before); Halloween,Yes,No,NA,No lighting,Not for sale,1.11.0,Yes,ToolBasketHalloween_Remake_0_0,0_0,14542,7iCi5mzyunH38iSKL
spooky treats basket,#REF!,Yellow,Pumpkin color,Yes,Yes,1,Pumpkin,1000,Unlimited,1,3000,750,201,horror,None,Yellow,Black,1x1,None,NA,NA,Crafting; Nook's Cranny,,Halloween (days before); Halloween,Yes,No,NA,No lighting,Not for sale,1.11.0,Yes,ToolBasketHalloween_Remake_1_0,1_0,14542,BeF86fkPMobZLnCJS
spooky treats basket,#REF!,Green,Pumpkin color,Yes,Yes,1,Pumpkin,1000,Unlimited,1,3000,750,201,horror,None,Green,Black,1x1,None,NA,NA,Crafting; Nook's Cranny,,Halloween (days before); Halloween,Yes,No,NA,No lighting,Not for sale,1.11.0,Yes,ToolBasketHalloween_Remake_2_0,2_0,14542,nKJf3hTfazivQyxa7
spooky treats basket,#REF!,Monochrome,Pumpkin color,Yes,Yes,1,Pumpkin,1000,Unlimited,1,3000,750,201,horror,None,White,Black,1x1,None,NA,NA,Crafting; Nook's Cranny,,Halloween (days before); Halloween,Yes,No,NA,No lighting,Not for sale,1.11.0,Yes,ToolBasketHalloween_Remake_3_0,3_0,14542,Yqgz4pipg2uNLWTYM
spooky wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,4300,573,None,None,Orange,Black,1x1,None,NA,NA,Crafting; Jack,,Halloween,Yes,No,NA,No lighting,Not for sale,1.5.0,Yes,ToolStickHalloween,NA,13237,M8JtabnRsijZu4RqN
star net,#REF!,Yellow,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Yellow,Yellow,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_0_0,0_0,8176,wmcDHN8JZMbnvLiNs
star net,#REF!,Red,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Red,Red,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_1_0,1_0,8176,KxYpvPeESLFNeLjGm
star net,#REF!,Blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Blue,Blue,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_2_0,2_0,8176,7GJJruF4u4y62nvQy
star net,#REF!,Light green,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Green,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_3_0,3_0,8176,y7BXcMSNByN5Q4Ycs
star net,#REF!,Pink,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Pink,Pink,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_4_0,4_0,8176,ajfxbnCnpzWsxsk9q
star net,#REF!,Purple,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Purple,Purple,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_5_0,5_0,8176,4mcfWQJQeebqu4az6
star net,#REF!,Light blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Aqua,Aqua,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_6_0,6_0,8176,ngWXLftz3J8uf7WZq
star net,#REF!,Green,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Green,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetStar_Remake_7_0,7_0,8176,YZeGaCuXAbFSpEg3h
star wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,6500,0,None,None,Yellow,Aqua,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolChangeStick,NA,2544,mMwQ96ZbuiBMzgutd
starry cheer megaphone,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,201,fitness,None,Yellow,Colorful,1x1,None,NA,NA,Nook Shopping Seasonal,,Big Game Celebration,Yes,No,NA,No lighting,Seasonal,1.7.0,Yes,ToolMegaphone2,NA,14014,AuWqSWWeNacnwYhyk
stone axe,#REF!,NA,NA,Yes,No,NA,None,NA,100,1,NFS,560,0,None,None,Beige,Gray,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolAxeStoneNormal,NA,5856,NKHsBuYu25RHWjMBx
strawberry cone,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Pink,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcecream2,NA,14837,c97LXNZRkhn8tDBJ3
strawberry cotton candy,#REF!,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Pink,Beige,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolCandyfloss1,NA,14748,CdFxYJ9eRjApQfEQM
strawberry donut,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Pink,Pink,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolDonutPlayer2,NA,334,6xEQLktM6S7yGBhSA
takeout coffee,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,75,0,None,None,Brown,White,1x1,None,NA,NA,Brewster,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolCupTakeout,NA,14541,tELkNKkmj6HbDxy8m
tambourine,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,103,None,None,White,Beige,1x1,None,NA,NA,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolTambourine,NA,5430,eYwGmK6fQwz2XJcht
timer,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,840,210,0,None,None,None,None,1x1,None,NA,NA,Nook's Cranny,,NA,NA,No,NA,No lighting,Not in catalog,1.0.0,Yes,ToolTimer,NA,3331,vEEPnFx9FEcKKuzg2
tree-branch wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1550,0,None,None,Brown,White,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickTree,NA,7587,KnHhJXtuXEhqcPMTx
tulip wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1580,0,None,None,Red,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickTulip,NA,5085,u7ZfCMpDYtPRbK2vc
tweeter,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,800,200,0,None,None,Yellow,Aqua,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolBlowouts,NA,5742,QxaQCNrLi393nadSQ
uchiwa fan,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,800,200,0,None,None,Blue,Purple,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolPaperFan,NA,5319,bPKsESXK5jLNWXAof
vanilla cone,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,White,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcecream0,NA,14635,oZLLmRsTp5HZ6tAvw
vanilla soft serve,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,White,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcesoft0,NA,14636,GRzhsozbuwfpdSxAu
vaulting pole,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,600,0,None,None,Beige,Red,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,LongWoodenStick,NA,4703,2vD5XPKHSCCSjy882
vine ladder set-up kit,#REF!,Light brown,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,1940,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitA0_Remake_0_0,0_0,13526,WW5vXJpgHWbZNqN6t
vine ladder set-up kit,#REF!,Dark brown,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,1940,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitA0_Remake_1_0,1_0,13526,2Bn52xsRMR52qYrJg
vine ladder set-up kit,#REF!,White,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,1940,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitA0_Remake_2_0,2_0,13526,rJYqpe4XHCbBsvfKR
wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1000,0,None,None,Brown,Brown,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickWood,NA,7584,2Re2yBHTfLRDiTWRb
watering can,#REF!,Blue,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Blue,Blue,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_0_0,0_0,2379,wLChevsx2T9Sm6yf4
watering can,#REF!,Orange,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Orange,Orange,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_1_0,1_0,2379,29SBgiL9wQWpYmfa4
watering can,#REF!,Green,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Green,Green,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_2_0,2_0,2379,m8fFeTsh7z7JgjB6H
watering can,#REF!,Red,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Red,Red,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_3_0,3_0,2379,95zusTkvS5ou2wPEC
watering can,#REF!,Purple,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Purple,Purple,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_4_0,4_0,2379,wiAp8rGXiDM3kyxpo
watering can,#REF!,Pink,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Pink,Pink,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_5_0,5_0,2379,JSe4Du3wPtE2TT98X
watering can,#REF!,White,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,White,White,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_6_0,6_0,2379,Z7ggDgjzNii2RWjNQ
watering can,#REF!,Black,Color,Yes,Yes,1,Normal,1000,60,1,NFS,600,0,None,None,Black,Black,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWatering_Remake_7_0,7_0,2379,77zFHmNrGhuJAvvjA
wedding wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,3500,437,None,None,Pink,Aqua,1x1,None,NA,NA,Crafting,,Wedding Season,Yes,No,NA,No lighting,Not for sale,1.2.0,Yes,ToolStickJune,NA,12695,syPb2baTrP3zqi66f
white-chocolate donut,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Brown,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolDonutPlayer1,NA,337,H8TDicKFng43vpWy2
windflower wand,#REF!,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1580,0,None,None,Orange,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickAnemones,NA,5084,ERMKczYuvS6Eff7C9
wooden ladder set-up kit,#REF!,Natural,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_0_0,0_0,13530,Apjs6HkLwMsryuvbt
wooden ladder set-up kit,#REF!,Blue,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_1_0,1_0,13530,e68rdW5MrXueaLt35
wooden ladder set-up kit,#REF!,Red,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_2_0,2_0,13530,kG85Xou84e8PKg7hD
wooden ladder set-up kit,#REF!,Yellow,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_3_0,3_0,13530,4Ymt3v2EFoZL7mghy
wooden ladder set-up kit,#REF!,Green,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_4_0,4_0,13530,oGJNcNSyTYjQAgg8Y
wooden ladder set-up kit,#REF!,White,Paint color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,2040,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitB0_Remake_5_0,5_0,13530,ZPMwEtEspQwqSGLCg
worn axe,#REF!,NA,NA,No,No,NA,None,NA,3,1,NFS,10,0,None,None,None,None,1x1,None,NA,NA,May Day Tour,,May Day,Yes,No,NA,No lighting,Not in catalog,1.2.0,Yes,ToolAxeFragile,NA,12615,xqXJch47cQrNT65jG
yellow balloon,#REF!,NA,NA,No,No,NA,None,NA,Unlimited,1,600,150,0,None,None,Yellow,Yellow,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolBalloonNormal2,NA,13124,dF8pTGMJY5465vatR
